track_id;popularity;duration_ms;explicit;danceability;energy;tempo
7ACW42whcdOiUxiNVu7ltx;46;210375;FALSO;7;454;80011
4qTHoIp62ngNDpUJwW3hZ7;57;131000;FALSO;402;197;100044
4VbDTk82rqWqVgoQC93CkC;58;218531;FALSO;507;378;13586
1pG5nd6gmfbMwUfT5shDQe;51;195945;FALSO;619;226;12496
2WZyfujzMweFLnozyUJBkW;63;245933;FALSO;404;571;14701
6gijbGNDNNJgT60Aj7UCyc;53;212386;FALSO;418;79;175975
5pq4v03P5PxMcnCagg4S3Z;60;225165;FALSO;633;299;147549
08OjvLnGR3M0HUhcePeMNO;47;112008;FALSO;565;392;125399
65VhbQdqvozUntjnlFkFbZ;60;123609;FALSO;664;755;80004
3PG6V5yuFfo4APiovOQoRv;67;265843;FALSO;65;271;78036
5O9R57EozcpLKGQBzadPVy;43;194194;FALSO;534;213;98385
6ta5yavnnEfCE4faU0jebM;54;154600;FALSO;456;386;165733
7BRCa8MPiyuvr2VU3O9W0F;60;158960;FALSO;409;234;139832
5ZhaKUsY68U0lgREFWfoxg;49;319000;FALSO;502;53;78046
4zcMBfbQZvBSHQBGDd6gsN;57;214360;FALSO;496;117;78068
7bhHLZxkRekrNPPkEdDTbn;42;204480;FALSO;585;724;187484
5rwq6R0Uq0BngM3rdmCeNg;67;277000;FALSO;582;253;90186
2lxBZVbkiCXC1soks2RXwV;61;214240;FALSO;637;14;13978
38YgZVHPWOWsKrsCXz6JyP;71;215173;FALSO;672;623;92018
6XrNrp7UtGgyZcHJ0ckL0w;49;296862;FALSO;422;272;143413
72R0X0h8YaxYNpegeoOl0M;61;235813;FALSO;47;801;17392
6R6ux6KaKrhAg2EIB2krdU;61;228933;FALSO;564;864;95984
2D9w6sabdMCLSheW5aegwO;20;339196;FALSO;521;495;135061
1Qo3taHLFSQpzLm5Sty7M4;22;296843;FALSO;616;81;97994
71M4QMn8nrok1KFVXwEEyU;35;218240;FALSO;615;812;98954
4lxGVzcUaSF5HW5jtWnShV;60;151773;FALSO;478;305;10866
1uSuY2qLCbx1QB7oPUVhFG;22;192260;FALSO;514;569;142597
6twvFrIoIINH8UW8EB8OnU;19;198855;FALSO;646;836;105991
2pelUnMKr07JjJpilj9Yew;24;191889;FALSO;57;711;163117
7d0bJhpp0mCYyMXaMgWyMS;57;171293;FALSO;678;199;72006
73CbJykoV6WapWGfTeRzTl;35;256440;FALSO;589;867;9452
3ixLIO5BsTmic0Pp27FaPY;20;221425;FALSO;626;926;99997
5ZetMq21bMQN5oo4TtdOxu;18;255047;FALSO;686;556;112997
73oHkllHIT8fdbzpxiXW40;19;208793;FALSO;56;832;100957
4MihgVRpD82EZoT61GW63w;23;214552;FALSO;619;793;177991
1BECZPXBXzobsfmlzj0g3I;19;264280;FALSO;56;278;102187
14vExHBkh1prEAN94wZug8;18;289041;FALSO;595;805;10244
0fzCtVM9D5UEwiLqcY8Ouq;65;322080;FALSO;438;827;143377
6IF2P93LkyW4GqDQu1yS7H;55;238971;FALSO;582;375;129909
34dnNAUoIPcwnK0RtVMBWZ;47;276575;FALSO;453;295;146022
5aDpULK8MbJmHl42kR5KNI;56;249120;FALSO;636;625;93931
1fI1TMpz7FVkpoYBhmiywp;53;111734;FALSO;639;201;88107
23Mcmg5O8rBKAOzxvrTjnD;49;210760;FALSO;69;423;130121
0gVbkmFqq5fIkXtJJ3UTfM;51;255688;FALSO;599;349;147913
00DuOxungwHwVUX2m37P0P;53;181786;FALSO;519;264;140354
2lFlveK1y13WWp3vnQtrr3;66;244600;FALSO;643;569;120507
2WD93lsfJonaKtrQtpLB2R;56;174546;FALSO;573;624;161025
7njTGO45SkaBTNu35t2Yq0;47;234330;FALSO;654;821;111958
6ivkBaxvclVhwZDE2uwldj;51;255600;FALSO;426;399;115979
6Cvti10W0AzmzG9D1tpuKp;55;176542;FALSO;505;21;80721
5RO0MNa5hBKIM4OcjygadU;40;188695;FALSO;739;287;8064
1esE8j1nVyzEQ5rVhYXoJT;55;216853;FALSO;606;54;79952
68Yc9ylRZZPtsuVgtrxcDj;50;149000;FALSO;595;646;120049
3tjjCCdXSdaVEo4q4y071G;52;157231;FALSO;736;145;129832
3tob5ofeuvFKKSbOTldenC;54;226603;FALSO;479;126;96327
4E6cwWJWZw2zWf7VFbH7wf;73;258826;FALSO;583;786;123055
3uAdZpIbMTtVXitHVibLMV;38;194013;FALSO;549;291;75153
2LC523tbEPFpc1pnikbt5b;53;242439;FALSO;418;489;72891
3ISLwA96mtx13Wx7K1PPPk;55;232500;FALSO;498;12;121187
7Ca2CkwSqHyr3eCh8IRdjz;41;156787;FALSO;769;135;103939
6ql0ffq6Jvyh9OKqrJCMaP;46;263823;FALSO;434;469;136282
1EyvonxK8OGHRV4WDRdArc;63;250916;FALSO;452;198;119499
0EKBV6GybPtALXUgWqWrym;66;238493;FALSO;544;5;93621
41A82PidFKhGX5hm1WoaDs;54;215906;FALSO;662;187;104988
5oV8bZaShr2d01FFMHBUPq;62;181136;FALSO;497;13;130769
5nMRpGfqQ0tb1TMbqBVK2J;57;157466;FALSO;528;291;76805
