track_id;key;loudness;mode;speechiness;acoousticness;liveness;valence;time_signature
0VhZ5JYfqPojSYeGWnk4dL;2;-11282;1;352;915;974;36;4
0ltIx8PLjtWoS9zn9PqsZW;2;-5268;1;311;319;137;385;4
7ACW42whcdOiUxiNVu7ltx;7;-1039;0;388;55;121;34;3
4qTHoIp62ngNDpUJwW3hZ7;5;-10775;1;295;858;114;148;3
4VbDTk82rqWqVgoQC93CkC;9;-9019;1;332;852;937;85;4
1pG5nd6gmfbMwUfT5shDQe;4;-13453;1;641;959;106;188;3
2WZyfujzMweFLnozyUJBkW;0;-5069;1;303;182;129;29;4
6gijbGNDNNJgT60Aj7UCyc;4;-6599;0;506;284;117;197;4
5pq4v03P5PxMcnCagg4S3Z;11;-7798;1;353;833;109;341;4
08OjvLnGR3M0HUhcePeMNO;1;-28276;1;45;835;117;601;4
65VhbQdqvozUntjnlFkFbZ;10;-19836;1;389;91;164;575;1
3PG6V5yuFfo4APiovOQoRv;9;-11081;1;314;794;196;21;4
5O9R57EozcpLKGQBzadPVy;1;-864;1;283;884;107;998;4
6ta5yavnnEfCE4faU0jebM;10;-10293;1;32;835;389;612;4
7BRCa8MPiyuvr2VU3O9W0F;3;-13711;1;323;338;895;145;4
5ZhaKUsY68U0lgREFWfoxg;2;-9573;1;266;805;728;102;4
4zcMBfbQZvBSHQBGDd6gsN;0;-12884;1;301;933;126;318;4
7bhHLZxkRekrNPPkEdDTbn;1;-6513;0;745;315;448;333;3
5rwq6R0Uq0BngM3rdmCeNg;10;-1143;1;259;827;91;294;4
2lxBZVbkiCXC1soks2RXwV;2;-11472;1;407;903;107;392;4
38YgZVHPWOWsKrsCXz6JyP;9;-5699;1;297;241;848;617;4
6XrNrp7UtGgyZcHJ0ckL0w;4;-10772;0;353;496;704;113;4
72R0X0h8YaxYNpegeoOl0M;9;-6426;1;352;758;218;431;4
6R6ux6KaKrhAg2EIB2krdU;4;-5121;1;341;761;182;534;4
2D9w6sabdMCLSheW5aegwO;5;-7756;1;27;128;296;116;4
1Qo3taHLFSQpzLm5Sty7M4;2;-651;1;668;369;107;79;4
71M4QMn8nrok1KFVXwEEyU;7;-6573;1;458;184;328;74;4
4lxGVzcUaSF5HW5jtWnShV;5;-13062;1;306;675;169;974;4
1uSuY2qLCbx1QB7oPUVhFG;6;-7866;0;3;601;218;264;4
6twvFrIoIINH8UW8EB8OnU;1;-6203;1;327;301;29;727;4
2pelUnMKr07JjJpilj9Yew;9;-4155;1;703;119;352;648;4
7d0bJhpp0mCYyMXaMgWyMS;9;-9785;1;307;957;968;262;4
73CbJykoV6WapWGfTeRzTl;10;-4523;1;385;41;306;795;4
3ixLIO5BsTmic0Pp27FaPY;2;-4441;1;477;265;159;548;4
5ZetMq21bMQN5oo4TtdOxu;1;-85;0;271;532;922;36;4
73oHkllHIT8fdbzpxiXW40;9;-5595;1;352;108;232;802;4
4MihgVRpD82EZoT61GW63w;5;-5964;1;661;263;828;892;4
1BECZPXBXzobsfmlzj0g3I;3;-12501;1;921;733;112;594;4
14vExHBkh1prEAN94wZug8;8;-7926;1;543;167;691;359;4
0fzCtVM9D5UEwiLqcY8Ouq;8;-6531;1;328;512;319;645;4
6IF2P93LkyW4GqDQu1yS7H;1;-13277;0;329;702;136;106;4
34dnNAUoIPcwnK0RtVMBWZ;7;-12881;1;291;518;293;14;4
5aDpULK8MbJmHl42kR5KNI;11;-7895;1;277;222;119;342;4
1fI1TMpz7FVkpoYBhmiywp;7;-16613;0;526;907;124;4;4
23Mcmg5O8rBKAOzxvrTjnD;2;-9194;0;294;883;111;59;4
0gVbkmFqq5fIkXtJJ3UTfM;1;-9269;1;301;819;112;444;4
00DuOxungwHwVUX2m37P0P;0;-11171;1;601;918;237;192;4
2lFlveK1y13WWp3vnQtrr3;7;-7459;1;276;544;178;275;4
2WD93lsfJonaKtrQtpLB2R;1;-9076;0;324;471;114;529;4
